date_time_(UTC),channel,duration,https://archive.org/details/,text
11/1/2020 0:00,CNNW,4,CNNW_20201031_210000_Countdown_to_Election_Day/start/10800,STATE OF THE RACE ON FINAL WEEKEND BEFORE ELECTION
11/1/2020 0:01,CNNW,7,CNNW_20201101_000000_Anderson_Cooper_360/start/60,"POLICE USE PEPPER-SPRAY, BREAK UP MARCH. INTENDED TO GET PEOPLE TO NC POLLS"
11/1/2020 0:02,CNNW,10,CNNW_20201101_000000_Anderson_Cooper_360/start/120,TRUMP HOLDING 4 PA RALLIES;. OBAMA JOINS BIDEN AT 3 MI STOPS
11/1/2020 0:02,FOXNEWSW,11,FOXNEWSW_20201101_000000_Watters_World/start/120,I BOBULINSKI DETAILS ALLEGED INTERACTIONS WITH BIDEN. . ' \\MnI-I-nre' Wnr-Irl
11/1/2020 0:02,MSNBCW,4,MSNBCW_20201101_000000_The_Week_With_Joshua_Johnson/start/120,HOW WE GOT TO ELECTION DAY 2O2O
11/1/2020 0:03,CNNW,3,CNNW_20201101_000000_Anderson_Cooper_360/start/180,NEW CNN POLLING IN KEY STATES
11/1/2020 0:04,CNNW,5,CNNW_20201101_000000_Anderson_Cooper_360/start/240,PRES. TRUMP CAMPAIGNS IN PENNSYLVANIA;. OBAMA JOINS BIDEN ON MICHIGAN TRAIL
11/1/2020 0:04,FOXNEWSW,9,FOXNEWSW_20201101_000000_Watters_World/start/240,TIGHT RACE IN BA'ITLEGROUND STATES. . \\Mnttnrc' Wnr-Irl 7
11/1/2020 0:06,MSNBCW,7,MSNBCW_20201101_000000_The_Week_With_Joshua_Johnson/start/360,UBAIIA CAMPAIGNS WITH BIDEN IN MICHIGAN
11/1/2020 0:07,CNNW,13,CNNW_20201101_000000_Anderson_Cooper_360/start/420,"ON CAMPAIGN TRAIL WITH BIDEN, OBAMA SAYS. VOTERS CAN'T BE \""COMPLACENT\"" LIKE 2O16 ELECTION"
11/1/2020 0:07,MSNBCW,7,MSNBCW_20201101_000000_The_Week_With_Joshua_Johnson/start/420,BIDEN DANPAIGN TRAVELS TO MICHIGAN AND FLDRIDA TODAY
11/1/2020 0:08,CNNW,8,CNNW_20201101_000000_Anderson_Cooper_360/start/480,TRUMP HOLDING 4 PA RALLIES;. OBAMA JOINS BIDEN AT 3 MI STOPS
11/1/2020 0:08,MSNBCW,5,MSNBCW_20201101_000000_The_Week_With_Joshua_Johnson/start/480,PRESIDENT TRUMP HOLDS RALLIES IN PENNSYLVANIA
11/1/2020 0:10,BBCNEWS,9,BBCNEWS_20201101_001000_,US election 2O2O. . Joe Biden is campaigning in Michigan
11/1/2020 0:10,FOXNEWSW,9,FOXNEWSW_20201101_000000_Watters_World/start/600,1 TRUMP OUT-CAMPAIGNING BIDEN IN FINAL STRETCH. . T ' \\Mnttnre' Wnr-Irl 7
11/1/2020 0:10,MSNBCW,12,MSNBCW_20201101_000000_The_Week_With_Joshua_Johnson/start/600,IN\u00a7IDE T\u2014HE DECISION DESK AHEAD OF THE ELECTION
